,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
588,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,1-102-2008-44267,Sales,Sell - Pre registration,OASIS TOWER 2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,0,74.97,2029154.0,27066.21,,,OASIS TOWER 2,Unit,12-10-2009
589,Villa,Residential,Existing Properties,Al Barsha South Fourth,2-110-2022-413,Mortgages,Lease to Own Registration,Haven Villas 1,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,3 B/R,0,129.94,1675000.0,12890.56,1675000.0,12890.56,,Villa,20-09-2022
590,Flat,Residential,Existing Properties,Al Warsan First,1-11-2023-41205,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,41.9,300000.0,7159.9,,,RIVIERA LAKE VIEW,Unit,13-12-2023
591,Office,Commercial,Existing Properties,Nadd Hessa,1-133-2009-200395,Sales,Development Registration,IT PLAZA,Silicon Oasis,IMG World Adventures,,,Office,1,83.98,476754.0,5677.0,,,IT PLAZA,Unit,29-09-2009
592,,Other,Existing Properties,Al Khawaneej Second,2-13-2022-947,Mortgages,Mortgage Registration,,,,,,,0,744.2,400186.0,537.74,,,,Land,27-01-2022
593,Flat,Residential,Off-Plan Properties,Al Barshaa South Third,1-102-2022-29585,Sales,Sell - Pre registration,TORINO BY ORO24,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,34.39,465500.0,13535.91,,,TORINO BY ORO24 - 6,Unit,30-09-2022
594,,Residential,Existing Properties,Jabal Ali First,1-41-2023-17941,Sales,Delayed Sell,ALFURJAN PACKAGE 6,Al Furjan,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,,0,600.0,4525000.0,7541.67,,,,Villa,14-09-2023
595,Hotel Apartment,Hospitality ,Off-Plan Properties,Burj Khalifa,1-102-2013-11489,Sales,Sell - Pre registration,THE ADDRESS RESIDENCE - SKY VIEW,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,187.64,5235888.0,27903.9,,,Address Residences Sky View,Unit,03-12-2013
596,Shop,Commercial,Existing Properties,Marsa Dubai,3-9-2018-2585,Gifts,Grant,BAYSIDE RESIDENCE,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,Shop,1,721.77,13207402.0,18298.63,,,BAYSIDE,Unit,03-09-2018
597,Office,Commercial,Existing Properties,Business Bay,1-11-2023-32714,Sales,Sell,EMPIRE HEIGHTS,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Office,1,131.49,1789867.0,13612.19,,,EMPIRE HEIGHTS B,Unit,13-10-2023
598,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2008-201219,Sales,Sell,,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,135.35,1162800.0,8591.06,,,MARINA CROWN TOWER,Unit,17-03-2008
599,Flat,Residential,Existing Properties,Al Thanyah Third,2-110-2007-200277,Mortgages,Lease to Own Registration,,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,70.44,720000.0,10221.47,720000.0,10221.47,AL Dhafrah-4,Unit,12-12-2007
600,Flat,Residential,Existing Properties,Me'Aisem First,1-11-2010-1765,Sales,Sell,THE CRESCENT,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,47.65,569000.0,11941.24,,,THE CRESCENT C,Unit,17-02-2010
601,,Residential,Existing Properties,Al Bada,1-11-2012-22647,Sales,Sell,,,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,,0,232.26,1600000.0,6888.83,,,,Building,27-11-2012
